name,enname,youtubeId,twitterId,biliId,tags,thumbnailSource,cnname,
物述 有栖,Mononobe Alice,UCt0clH12Xk1-Ej5PXKGfdPA,AliceMononobe,434565011,にじさんじ,twitter,物述有栖
シスター クレア,Sister Cleaire,UC1zFJrfEKvCixhsjNSb1toQ,SisterCleaire,362420674,にじさんじ,twitter,修女克蕾雅
叶,Kanae,UCspv01oxUFf_MTSipURRhkA,Kanae_2434,0,にじさんじ,twitter,叶
竜胆 尊,Rindou Mikoto,UCPvGypSgfDkVe7JG2KygK7A,RindouMikoto,0,にじさんじ,twitter,龙胆尊
勇気 ちひろ,Yuuki Chihiro,UCLO9QDxVL4bnvRRsz6K4bsQ,Chihiro_yuki23,3726678,にじさんじ,twitter,勇气千寻
緑 仙,Ryuu Shen,UCt5-0i4AVHXaWJrL8Wql3mw,midori_2434,403930401,にじさんじ,twitter,绿仙
家長 むぎ,Ienaga Mugi,UC_GCs6GARLxEHxy1w40d6VQ,ienaga_mugi23,0,にじさんじ,twitter,家长麦
うしみ いちご,Ushimi Ichigo,UCmUjjW5zF1MMOhYUwwwQv9Q,ushimi_ichigo,0,にじさんじ,twitter,宇志海莓
森中 花咲,Morinaka Kazaki,UCtpB6Bvhs1Um93ziEDACQ8g,kazakimorinaka,0,にじさんじ,twitter,森中花咲
鷹宮 リオン,Takamiya Rion,UCV5ZZlLjk5MKGg3L0n0vbzw,TakamiyaRion,0,にじさんじ,twitter,鹰宫莉音
御伽原 江良,Otogibara Era,UCwQ9Uv-m8xkE5PzRc7Bqx3Q,OtogibaraEra,0,にじさんじ,twitter,御伽原江良
久遠 千歳,Kudou Chitose,UCP2o-o6u4uX3uq1hXspl0rg,kudou_chitose,257492,にじさんじ,twitter,久远千岁
もこ田 めめめ,Moko Meme,UCz6Gi81kE6p5cdW1rT0ixqw,mokomeme_ch,0,.LIVE,twitter,毛绒田咩咩咩
ばあちゃる,Baacharu,UC6TyfKcsrPwBsBnx2QobVLQ,BAyoutuber,391875813,.LIVE,twitter,巴恰鲁
夜桜 たま,Yozakura Tama,UCOefINa2_BmpuX4BbHjdk9A,YozakuraTama,0,.LIVE,twitter,夜樱灵
北上 双葉,Kitakami Futaba,UC5nfcGkOAm3JwfPvJvzplHg,KitakamiFutaba,0,.LIVE,twitter,北上双叶
花京院 ちえり,Chieri Kakyoin,UCP9ZgeIJ3Ri9En69R0kJc9Q,chieri_kakyoin,0,.LIVE,twitter,花京院樱桃
夢咲 楓,Kaede Yumesaki,UC2ZVDmnoZAOdLt7kI7Uaqog,Kaede_gamebu,0,gamebu,twitter,梦咲枫
風見 涼,Ryo Kazami,UC2ZVDmnoZAOdLt7kI7Uaqog,Ryo_gamebu,0,gamebu,twitter,风见凉
桜樹 みりあ,Miria Sakuragi,UC2ZVDmnoZAOdLt7kI7Uaqog,miria_gamebu,0,gamebu,twitter,樱树米莉亚
道明寺 晴翔,Haruto Domyoji,UC2ZVDmnoZAOdLt7kI7Uaqog,Haruto_gamebu,0,gamebu,twitter,道明寺晴翔
道明寺 ここあ,Kokoa Domyoji,UCCebk1_w5oiMUTRxdNJq0sA,kokoa_domyoji,381951501,Unlimited,twitter,道明寺可可亚
名取 さな,Natori Sana,UCIdEIHpS0TdkqRkHL5OkLtA,sana_natori,0,,twitter,名取纱那
かぐら なな,Kagura Nana,UCbfv8uuUXt3RSJGEwxny5Rw,nana_kaguraaa,386900246,神楽七奈,twitter,神乐七奈
Paryi,Paryi,UCrhx4PaF3uIo9mDcTxHnmIg,par1y,1576121,,twitter,Paryi
高槻 りつ,Takatsuki Ritsu,UCL9dLCVvHyMiqjp2RDgowqQ,re2_takatsuki,0,,twitter,高槻律
カナタ ヒカリ,Kanata Hikari,UCV56QlnrJqRmKtWKXObLodg,YoutuberHikari,0,,twitter,Kanata Hikari
富士 葵,Fuji Aoi,UC3Ruo_5doyu514PesWGvCAg,fuji_aoi_0618,0,,twitter,富士葵
水無瀬 るい,Minase Rui,UCxavYpm91UOgngdMCGQt0Xg,v_minaserui,0,,twitter,水无濑Rui
千条 アリア,Chijo Aria,UC8UZk3EE_LPxWNyQ7RUDCYA,AirontheString,398642121,,twitter,千条亚里亚
鷹森 ツヅル,Tsuzuru Takamori,UCTNqdmisGoH93iyTLDV1J5A,txzxrx_tkmr,0,408265707,twitter,鷹森月弦
